Date,Open,High,Low,Close,Adj Close,Volume
2012-01-20,12630.400390625,12649.599609375,12550.400390625,12553.599609375,10413.298828125,8183
2012-01-23,12556.7998046875,12697.599609375,12377.599609375,12560.0,10418.607421875,11030
2012-01-24,12659.2001953125,12713.599609375,12531.2001953125,12598.400390625,10450.4599609375,9553
2012-01-25,12339.2001953125,12531.2001953125,12217.599609375,12272.0,10179.708984375,17722
2012-01-26,12182.400390625,12476.7998046875,12128.0,12371.2001953125,10261.9951171875,14721
2012-01-27,12409.599609375,12425.599609375,12243.2001953125,12281.599609375,10187.6708984375,11572
2012-01-30,12496.0,12588.7998046875,12230.400390625,12275.2001953125,10182.3623046875,15109
2012-01-31,12153.599609375,12390.400390625,12102.400390625,12233.599609375,10147.8564453125,12220
2012-02-01,12099.2001953125,12176.0,11942.400390625,12035.2001953125,9983.2802734375,15849
2012-02-02,11961.599609375,12051.2001953125,11881.599609375,11952.0,9914.2646484375,9066
2012-02-03,11740.7998046875,11772.7998046875,11603.2001953125,11641.599609375,9656.7890625,13560
2012-02-06,11718.400390625,11772.7998046875,11638.400390625,11641.599609375,9656.7890625,7397
2012-02-07,11664.0,11763.2001953125,11552.0,11600.0,9622.2802734375,9472
2012-02-08,11590.400390625,11676.7998046875,11475.2001953125,11475.2001953125,9518.7578125,10402
2012-02-09,11398.400390625,11523.2001953125,11286.400390625,11308.7998046875,9380.7294921875,17187
2012-02-10,11468.7998046875,11542.400390625,11404.7998046875,11468.7998046875,9513.4462890625,16723
2012-02-13,11296.0,11398.400390625,11222.400390625,11251.2001953125,9332.947265625,10655
2012-02-14,11308.7998046875,11379.2001953125,11187.2001953125,11190.400390625,9282.5146484375,12011
2012-02-15,11084.7998046875,11385.599609375,10966.400390625,11356.7998046875,9420.54296875,26625
2012-02-16,11337.599609375,11398.400390625,11011.2001953125,11036.7998046875,9155.1025390625,20683
2012-02-17,11027.2001953125,11196.7998046875,11017.599609375,11104.0,9210.84765625,11073
2012-02-21,11081.599609375,11180.7998046875,10947.2001953125,11040.0,9157.755859375,16007
