Date,Open,High,Low,Close,Adj Close,Volume
2012-01-20,515200.0,515840.0,509760.0,510080.0,413831.625,33
2012-01-23,510080.0,518720.0,499200.0,510080.0,413831.625,52
2012-01-24,517120.0,519680.0,508480.0,512640.0,415908.5625,43
2012-01-25,497600.0,508480.0,489600.0,493440.0,400331.4375,82
2012-01-26,486720.0,504960.0,484160.0,498560.0,404485.34375,88
2012-01-27,502080.0,502080.0,491520.0,494080.0,400850.6875,74
2012-01-30,505280.0,512000.0,490560.0,492800.0,399812.1875,64
2012-01-31,485440.0,499840.0,482560.0,490560.0,397994.8125,46
2012-02-01,482240.0,487360.0,473280.0,479040.0,388648.625,75
2012-02-02,473600.0,479680.0,469440.0,474240.0,384754.40625,56
2012-02-03,460480.0,463360.0,453120.0,455040.0,369177.1875,70
2012-02-06,459200.0,463360.0,455040.0,455360.0,369436.875,37
2012-02-07,456320.0,462400.0,450240.0,452160.0,366840.78125,40
2012-02-08,452160.0,457280.0,445760.0,446080.0,361907.9375,48
2012-02-09,440960.0,448640.0,434240.0,435840.0,353600.125,63
2012-02-10,445440.0,449280.0,441280.0,444800.0,360869.4375,65
2012-02-13,434880.0,440960.0,430720.0,432320.0,350744.34375,43
2012-02-14,436480.0,440000.0,428800.0,429120.0,348148.15625,59
2012-02-15,422720.0,440000.0,416000.0,438720.0,355936.6875,141
2012-02-16,438080.0,440960.0,418560.0,419840.0,340619.25,107
2012-02-17,419200.0,429120.0,418880.0,424000.0,343994.1875,45
2012-02-21,422720.0,428160.0,414720.0,420160.0,340878.8125,69
2012-02-22,423040.0,427840.0,419200.0,425600.0,345292.3125,44
2012-02-23,424960.0,430400.0,415680.0,417600.0,338801.9375,58
2012-02-24,413760.0,416640.0,410880.0,413120.0,335167.25,51
2012-02-27,420800.0,425280.0,407360.0,411840.0,334128.75,65
2012-02-28,410240.0,411840.0,399040.0,399360.0,324003.65625,71
2012-02-29,397760.0,408000.0,393920.0,404480.0,328157.5625,95
2012-03-01,399040.0,403200.0,393600.0,394240.0,319849.8125,56
2012-03-02,395520.0,399360.0,391680.0,395520.0,320888.21875,53
